8201025694;2020;RT;Penggantian 25 Length Floating Hose SPM;4MR;1167860 ;0 ;0 ;1167860 
8301065531;2020;OH;2020_OVERHAUL TANGKI 71T18 (CARRY OVER);4MO;317702 ;0 ;0 ;317702 
8301074448;2020;OH;"RKAP 2020, Perbaikan Crank Shaft";4RO;292792 ;0 ;0 ;292792 
8301068669;2020;OH;"RKAP 2020, Overhaul 014K102A";4RO;687500 ;0 ;433898 ;253602 
8301072380;2020;OH;RKA_2020 PENGADAAN PLATE OH 71T-3;4MO;208333 ;0 ;0 ;208333 
8201030410;2020;RT;Material PM (Time Based) 56K1/2/3/102;4RR;182727 ;0 ;0 ;182727 
8201028417;2020;RT;[PV] Piston Rod & Valve Spare 84K202ABC;4RR;173611 ;0 ;0 ;173611 
8201024406;2020;NR;Kontrak Scaffoding 2019/2020;4MR;109722 ;0 ;-54263 ;163985 
8301057886;2020;OH;"RKAP 2020, Overhaul Kompressor 13K1B";4RO;135417 ;124691 ;-142253 ;152978 
8301080065;2020;OH;Minor Overhaul 56K102;4RR;175140 ;24931 ;0 ;150209 
8301035365;2020;OH;RKA_2018 PENGADAAN PIPA 16 IN ROOF 34T1;4MO;131944 ;0 ;-18250 ;150194 
8201030227;2020;RT;Perbaikan kompresor 014K102C;4RR;131944 ;120659 ;-134761 ;146047 
8301079954;2020;OH;Minor Over Haul Kompressor 56K2;4RR;144097 ;0 ;0 ;144097 
8201027565;2020;RT;RKAP_UNIT PRICE CLEANING SWD U-154 RFCC;4MR;199665 ;19542 ;39525 ;140598 
8201026424;2020;RT;Perbaikan Motor 063P201;4ER;109201 ;26220 ;-56587 ;139569 
8301077026;2020;TA;TA2019_PENAGIHAN PSA TRANSFORMER;4ET;138194 ;-5 ;0 ;138199 
8301047925;2020;OH;Penambahan 2 unit PWHT & Perbaikan;4ER;103472 ;0 ;-30453 ;133925 
8301076588;2020;OH;NRKAP2020_Perbaikan Piping Stop unit SRU;4MR;121389 ;0 ;0 ;121389 
8201024948;2020;RT;PEMBAYARAN UP PIPA & BORDES UTL;4MR;118638 ;0 ;0 ;118638 
8201019544;2020;RT;Fasilitas Line Tie In 12'' HP Steam;4MR;118638 ;0 ;0 ;118638 
8201023992;2020;RT;Penyewaan Elevator RFCC;4ER;434 ;0 ;-114605 ;115039 
8201027078;2020;RT;Potong Rumput Kilang Barat;4MR;113889 ;0 ;0 ;113889 
8301056391;2020;OH;Unit Price Stat utk TA 2019;4MR;0 ;0 ;-113725 ;113725 
8201026948;2020;RT;Perbaikan gedung area ME-1;4MR;111430 ;0 ;0 ;111430 
8301065636;2020;OH;RKA 2020 PENGADAAN ROOF SEAL OH 38T-101;4MO;110578 ;0 ;0 ;110578 
8301050914;2020;OH;"RKAP 2020, Overhaul 156K501A";4RO;0 ;0 ;-109914 ;109914 
8201029926;2020;RT;Perbaikan 014AT355 rusak;4IR;40278 ;12319 ;-77629 ;105588 
8201021241;2020;RT;penggantian speed variator 024S101D;4RR;102118 ;0 ;0 ;102118 
8201021235;2020;RT;penggantian gearbox speed 24S101C;4RR;100694 ;-415 ;0 ;101109 
8301076591;2020;OH;"NRKAP 2020, Minor Overhaul 56K102";4RO;98958 ;0 ;0 ;98958 
8201023861;2020;RT;Perbaikan Fire Proofing di Area MA 6;4MR;97910 ;0 ;0 ;97910 
8201028135;2020;RT;85C201;4MR;91073 ;0 ;0 ;91073 
8201024742;2020;RT;RKA 2020-Coating Dinding Luar Tanki 43T1;4MR;90278 ;0 ;0 ;90278 
8301044818;2020;OH;Pengadaan Material OH 051G103;4ER;84200 ;0 ;0 ;84200 
8201029983;2020;RT;[CR] Perbaikan Pompa 053P101C;4RR;83545 ;0 ;0 ;83545 
8201026391;2020;RT;[RKAP 2020] Upgrade PLC BMS 260F-101;4IR;79861 ;0 ;0 ;79861 
8201027081;2020;RT;Potong Rumput RFCC;4MR;171875 ;0 ;93352 ;78523 
8301041125;2020;OH;RKA_2018 PENGADAN MIXER 34M1 TANKI 34T1;4MO;76987 ;0 ;0 ;76987 
8301076340;2020;OH;"NRKAP 2020, Minor Overhaul 56K1";4RO;75325 ;0 ;0 ;75325 
8201024611;2020;RT;Penggantian pompa 24P20;4RR;120188 ;0 ;45972 ;74216 
8301035902;2020;OH;Perbaikan/ ganti soot blower 11F1;4RR;66933 ;0 ;0 ;66933 
8301068956;2020;OH;"RKAP 2020, Overhaul 011P110C";4RO;63916 ;0 ;0 ;63916 
8301048071;2020;OH;Penambahan Electric heater (Oven);4ER;63085 ;0 ;0 ;63085 
8201027454;2020;RT;[PV] Low Flow Compressor 158A501K1B;4RR;67364 ;4991 ;0 ;62373 
